tab_id,name
mtab1,Module Overview
mtab2,Presentation
mtab3,Introduction
mtab4,Exploration
mtab5,Activity A
obj1,Objective 1 - Select and view site
obj2,Objective 2 - Explore data
obj3,Objective 3 - Explore variable relationships
obj4,Objective 4 - Understand model
obj5,Objective 5 - Build Model
mtab6,Activity B
obj6,Objective 6 - Examine uncertainty
obj7,Objective 7 - Prepare inputs
obj8,Objective 8 - Forecast
obj9,Objective 9 - Communicate forecast
obj10,Objective 10 -  Assess forecast
obj11,Objective 11 - Update model
obj12,Objective 12 - Next forecast
mtab7,Activity C
